	intron	exon
seq1153	0.36	0.47
seq1154	0.32	0.42
seq1155	0.51	0.6
seq1156	0.46	0.56
seq1157	0.35	0.45
seq1158	0.41	0.51
seq1159	0.39	0.49
seq1160	0.41	0.5
seq1161	0.43	0.53
seq1162	0.3	0.4
seq1163	0.33	0.43
seq1164	0.4	0.5
seq1165	0.42	0.52
seq1166	0.4	0.49
seq1167	0.34	0.44
seq1168	0.41	0.51
seq1169	0.33	0.43
seq1170	0.28	0.38
seq1171	0.37	0.47
seq1172	0.42	0.52
seq1173	0.38	0.47
seq1174	0.43	0.54
seq1175	0.34	0.44
seq1176	0.43	0.52
seq1177	0.38	0.48
seq1178	0.33	0.44
seq1179	0.47	0.57
seq1180	0.42	0.53
seq1181	0.41	0.51
seq1182	0.39	0.5
seq1183	0.45	0.56
seq1184	0.32	0.43
seq1185	0.45	0.55
seq1186	0.43	0.53
seq1187	0.36	0.46
seq1188	0.34	0.45
seq1189	0.53	0.63
seq1190	0.32	0.42
seq1191	0.42	0.51
seq1192	0.54	0.65
seq1193	0.38	0.49
seq1194	0.24	0.33
seq1195	0.38	0.49
seq1196	0.35	0.44
seq1197	0.42	0.52
seq1198	0.4	0.5
seq1199	0.41	0.51
seq1200	0.31	0.42
seq1201	0.31	0.42
seq1202	0.43	0.54
seq1203	0.42	0.53
seq1204	0.34	0.43
seq1205	0.42	0.53
seq1206	0.46	0.56
seq1207	0.33	0.43
seq1208	0.38	0.49
seq1209	0.42	0.51
seq1210	0.42	0.53
seq1211	0.37	0.47
seq1212	0.37	0.47
seq1213	0.35	0.45
seq1214	0.48	0.59
seq1215	0.39	0.48
seq1216	0.34	0.44
seq1217	0.31	0.41
seq1218	0.43	0.53
seq1219	0.39	0.49
seq1220	0.36	0.46
seq1221	0.32	0.42
seq1222	0.43	0.53
seq1223	0.27	0.38
seq1224	0.33	0.43
seq1225	0.35	0.45
seq1226	0.39	0.5
seq1227	0.35	0.46
seq1228	0.26	0.37
seq1229	0.37	0.46
seq1230	0.37	0.48
seq1231	0.39	0.48
seq1232	0.39	0.48
seq1233	0.46	0.57
seq1234	0.4	0.49
seq1235	0.38	0.48
seq1236	0.45	0.55
seq1237	0.46	0.55
seq1238	0.38	0.48
seq1239	0.4	0.49
seq1240	0.4	0.5
seq1241	0.44	0.55
seq1242	0.34	0.44
seq1243	0.37	0.48
seq1244	0.37	0.46
seq1245	0.39	0.49
seq1246	0.48	0.58
seq1247	0.45	0.55
seq1248	0.52	0.63
seq1249	0.3	0.4
seq1250	0.5	0.61
seq1251	0.42	0.53
seq1252	0.35	0.44
seq1253	0.47	0.57
seq1254	0.39	0.49
seq1255	0.3	0.4
seq1256	0.47	0.56
seq1257	0.41	0.51
seq1258	0.42	0.53
seq1259	0.27	0.36
seq1260	0.34	0.44
seq1261	0.33	0.44
seq1262	0.36	0.45
seq1263	0.43	0.53
seq1264	0.43	0.52
seq1265	0.37	0.46
seq1266	0.34	0.45
seq1267	0.32	0.41
seq1268	0.26	0.37
seq1269	0.34	0.43
seq1270	0.35	0.44
seq1271	0.49	0.59
seq1272	0.34	0.44
seq1273	0.44	0.53
seq1274	0.32	0.43
seq1275	0.43	0.52
seq1276	0.4	0.5
seq1277	0.44	0.54
seq1278	0.42	0.52
seq1279	0.38	0.48
seq1280	0.42	0.52
seq1281	0.37	0.47
seq1282	0.33	0.43
seq1283	0.29	0.39
seq1284	0.24	0.33
seq1285	0.41	0.52
seq1286	0.27	0.37
seq1287	0.33	0.43
seq1288	0.36	0.47
seq1289	0.37	0.47
seq1290	0.4	0.51
seq1291	0.44	0.53
seq1292	0.34	0.44
seq1293	0.47	0.57
seq1294	0.37	0.48
seq1295	0.41	0.51
seq1296	0.37	0.47
seq1297	0.4	0.5
seq1298	0.43	0.54
seq1299	0.34	0.44
seq1300	0.46	0.55
seq1301	0.29	0.39
seq1302	0.45	0.55
seq1303	0.4	0.49
seq1304	0.31	0.42
seq1305	0.45	0.54
seq1306	0.38	0.48
seq1307	0.35	0.45
seq1308	0.42	0.51
seq1309	0.35	0.46
seq1310	0.37	0.48
seq1311	0.5	0.59
seq1312	0.41	0.5
seq1313	0.4	0.5
seq1314	0.48	0.58
seq1315	0.37	0.47
seq1316	0.39	0.5
seq1317	0.33	0.44
seq1318	0.36	0.46
seq1319	0.32	0.42
seq1320	0.32	0.41
seq1321	0.39	0.49
seq1322	0.22	0.32
seq1323	0.47	0.57
seq1324	0.4	0.5
seq1325	0.33	0.42
seq1326	0.31	0.41
seq1327	0.35	0.45
seq1328	0.43	0.53
seq1329	0.46	0.55
seq1330	0.51	0.6
seq1331	0.41	0.51
seq1332	0.27	0.38
seq1333	0.29	0.4
seq1334	0.37	0.48
seq1335	0.38	0.49
seq1336	0.34	0.44
seq1337	0.59	0.7
seq1338	0.38	0.48
seq1339	0.37	0.48
seq1340	0.34	0.45
seq1341	0.45	0.55
seq1342	0.28	0.37
seq1343	0.35	0.45
seq1344	0.4	0.5
seq1345	0.49	0.6
seq1346	0.41	0.52
seq1347	0.4	0.5
seq1348	0.35	0.44
seq1349	0.39	0.5
seq1350	0.45	0.54
seq1351	0.41	0.5
seq1352	0.45	0.54
seq1353	0.37	0.48
seq1354	0.42	0.52
seq1355	0.4	0.5
seq1356	0.36	0.46
seq1357	0.49	0.59
seq1358	0.41	0.51
seq1359	0.42	0.52
seq1360	0.29	0.39
seq1361	0.37	0.46
seq1362	0.4	0.49
seq1363	0.24	0.35
seq1364	0.36	0.46
seq1365	0.39	0.48
seq1366	0.38	0.48
seq1367	0.37	0.48
seq1368	0.35	0.45
seq1369	0.36	0.45
seq1370	0.38	0.48
seq1371	0.46	0.56
seq1372	0.36	0.46
seq1373	0.39	0.5
seq1374	0.46	0.55
seq1375	0.38	0.48
seq1376	0.43	0.53
seq1377	0.45	0.55
seq1378	0.4	0.49
seq1379	0.44	0.54
seq1380	0.36	0.46
seq1381	0.42	0.52
seq1382	0.39	0.48
seq1383	0.36	0.46
seq1384	0.36	0.46
seq1385	0.28	0.38
seq1386	0.38	0.48
seq1387	0.42	0.52
seq1388	0.39	0.48
seq1389	0.38	0.47
seq1390	0.36	0.46
seq1391	0.33	0.43
seq1392	0.42	0.53
seq1393	0.31	0.4
seq1394	0.35	0.45
seq1395	0.37	0.48
seq1396	0.32	0.42
seq1397	0.5	0.6
seq1398	0.45	0.56
seq1399	0.25	0.35
seq1400	0.36	0.45
seq1401	0.46	0.56
seq1402	0.28	0.37
seq1403	0.41	0.51
seq1404	0.36	0.46
seq1405	0.44	0.55
seq1406	0.28	0.39
seq1407	0.39	0.5
seq1408	0.32	0.43
seq1409	0.31	0.41
seq1410	0.26	0.36
seq1411	0.5	0.6
seq1412	0.38	0.49
seq1413	0.27	0.37
seq1414	0.36	0.47
seq1415	0.31	0.41
seq1416	0.32	0.41
seq1417	0.48	0.57
seq1418	0.35	0.46
seq1419	0.44	0.55
seq1420	0.47	0.57
seq1421	0.41	0.52
seq1422	0.38	0.49
seq1423	0.38	0.48
seq1424	0.36	0.45
seq1425	0.43	0.53
seq1426	0.32	0.41
seq1427	0.41	0.51
seq1428	0.32	0.41
seq1429	0.41	0.5
seq1430	0.29	0.39
seq1431	0.35	0.45
seq1432	0.37	0.48
seq1433	0.41	0.51
seq1434	0.4	0.5
seq1435	0.43	0.53
seq1436	0.45	0.54
seq1437	0.41	0.52
seq1438	0.29	0.39
seq1439	0.37	0.48
seq1440	0.32	0.43
seq1441	0.3	0.4
seq1442	0.46	0.56
seq1443	0.29	0.4
seq1444	0.39	0.49
seq1445	0.34	0.44
seq1446	0.34	0.43
seq1447	0.45	0.56
seq1448	0.36	0.46
seq1449	0.37	0.47
seq1450	0.3	0.41
seq1451	0.44	0.54
seq1452	0.4	0.5
seq1453	0.37	0.47
seq1454	0.38	0.48
seq1455	0.29	0.39
seq1456	0.46	0.56
seq1457	0.29	0.39
seq1458	0.3	0.41
seq1459	0.33	0.42
seq1460	0.41	0.51
seq1461	0.38	0.48
seq1462	0.37	0.47
seq1463	0.28	0.38
seq1464	0.36	0.46
seq1465	0.41	0.51
seq1466	0.45	0.56
seq1467	0.38	0.47
seq1468	0.22	0.32
seq1469	0.22	0.33
seq1470	0.42	0.52
seq1471	0.33	0.43
seq1472	0.39	0.49
seq1473	0.43	0.52
seq1474	0.37	0.47
seq1475	0.49	0.58
seq1476	0.42	0.52
seq1477	0.47	0.56
seq1478	0.39	0.5
seq1479	0.3	0.4
seq1480	0.45	0.55
seq1481	0.36	0.46
seq1482	0.41	0.51
seq1483	0.45	0.55
seq1484	0.42	0.51
seq1485	0.4	0.49
seq1486	0.42	0.52
seq1487	0.44	0.54
seq1488	0.35	0.46
seq1489	0.4	0.51
seq1490	0.26	0.37
seq1491	0.29	0.39
seq1492	0.4	0.49
seq1493	0.31	0.41
seq1494	0.36	0.46
seq1495	0.52	0.62
seq1496	0.33	0.42
seq1497	0.41	0.5
seq1498	0.35	0.44
seq1499	0.49	0.58
seq1500	0.32	0.43
seq1501	0.41	0.5
seq1502	0.36	0.47
seq1503	0.33	0.43
seq1504	0.3	0.4
seq1505	0.4	0.49
seq1506	0.36	0.46
seq1507	0.43	0.52
seq1508	0.35	0.45
seq1509	0.33	0.43
seq1510	0.31	0.41
seq1511	0.31	0.4
seq1512	0.41	0.5
seq1513	0.44	0.54
seq1514	0.38	0.47
seq1515	0.31	0.41
seq1516	0.34	0.44
seq1517	0.35	0.44
seq1518	0.43	0.54
seq1519	0.25	0.35
seq1520	0.28	0.38
seq1521	0.32	0.42
seq1522	0.26	0.37
seq1523	0.43	0.54
seq1524	0.35	0.46
seq1525	0.43	0.54
seq1526	0.38	0.48
seq1527	0.39	0.48
seq1528	0.32	0.42
seq1529	0.37	0.46
seq1530	0.3	0.39
seq1531	0.43	0.54
seq1532	0.46	0.56
seq1533	0.35	0.44
seq1534	0.43	0.52
seq1535	0.38	0.48
seq1536	0.4	0.49
seq1537	0.42	0.51
seq1538	0.45	0.56
seq1539	0.44	0.54
seq1540	0.29	0.4
seq1541	0.29	0.39
seq1542	0.39	0.5
seq1543	0.3	0.41
seq1544	0.42	0.52
seq1545	0.46	0.56
seq1546	0.45	0.55
seq1547	0.5	0.6
seq1548	0.45	0.54
seq1549	0.37	0.46
seq1550	0.31	0.41
seq1551	0.32	0.42
seq1552	0.37	0.47
seq1553	0.43	0.53
seq1554	0.39	0.49
seq1555	0.33	0.43
seq1556	0.36	0.46
seq1557	0.43	0.53
seq1558	0.24	0.33
seq1559	0.31	0.41
seq1560	0.47	0.57
seq1561	0.32	0.42
seq1562	0.39	0.5
seq1563	0.41	0.5
seq1564	0.33	0.43
seq1565	0.33	0.44
seq1566	0.24	0.34
seq1567	0.34	0.44
seq1568	0.33	0.43
seq1569	0.32	0.43
seq1570	0.24	0.34
seq1571	0.36	0.46
seq1572	0.26	0.36
seq1573	0.41	0.51
seq1574	0.41	0.51
seq1575	0.38	0.49
seq1576	0.32	0.43
seq1577	0.45	0.55
seq1578	0.45	0.56
seq1579	0.44	0.54
seq1580	0.36	0.46
seq1581	0.38	0.48
seq1582	0.45	0.54
seq1583	0.3	0.4
seq1584	0.32	0.43
seq1585	0.4	0.51
seq1586	0.27	0.38
seq1587	0.44	0.54
seq1588	0.35	0.45
seq1589	0.4	0.5
seq1590	0.3	0.4
seq1591	0.36	0.46
seq1592	0.43	0.53
seq1593	0.29	0.38
seq1594	0.35	0.45
seq1595	0.45	0.54
seq1596	0.38	0.47
seq1597	0.39	0.49
seq1598	0.35	0.44
seq1599	0.44	0.54
seq1600	0.37	0.48
seq1601	0.4	0.5
seq1602	0.44	0.55
seq1603	0.39	0.49
seq1604	0.44	0.54
seq1605	0.38	0.47
seq1606	0.38	0.48
seq1607	0.32	0.42
seq1608	0.48	0.57
seq1609	0.37	0.47
seq1610	0.34	0.44
seq1611	0.42	0.52
seq1612	0.37	0.47
seq1613	0.32	0.42
seq1614	0.36	0.47
seq1615	0.42	0.52
seq1616	0.36	0.46
seq1617	0.37	0.47
seq1618	0.29	0.38
seq1619	0.4	0.49
seq1620	0.36	0.47
seq1621	0.38	0.48
seq1622	0.36	0.46
seq1623	0.43	0.53
seq1624	0.31	0.42
seq1625	0.28	0.38
seq1626	0.25	0.35
seq1627	0.29	0.39
seq1628	0.39	0.49
seq1629	0.32	0.42
seq1630	0.38	0.48
seq1631	0.46	0.55
seq1632	0.42	0.52
seq1633	0.62	0.72
seq1634	0.36	0.45
seq1635	0.36	0.46
seq1636	0.32	0.42
seq1637	0.44	0.54
seq1638	0.38	0.48
seq1639	0.33	0.42
seq1640	0.38	0.48
seq1641	0.46	0.56
seq1642	0.37	0.47
seq1643	0.37	0.46
seq1644	0.42	0.52
seq1645	0.35	0.44
seq1646	0.26	0.37
seq1647	0.43	0.53
seq1648	0.49	0.6
seq1649	0.38	0.47
seq1650	0.35	0.45
seq1651	0.28	0.37
seq1652	0.32	0.41
seq1653	0.35	0.46
seq1654	0.3	0.4
seq1655	0.38	0.49
seq1656	0.36	0.47
seq1657	0.43	0.53
seq1658	0.46	0.56
seq1659	0.31	0.41
seq1660	0.42	0.51
seq1661	0.33	0.43
seq1662	0.39	0.48
seq1663	0.33	0.43
seq1664	0.45	0.56
seq1665	0.4	0.5
seq1666	0.36	0.46
seq1667	0.33	0.42
seq1668	0.35	0.45
seq1669	0.36	0.47
seq1670	0.46	0.56
seq1671	0.31	0.42
seq1672	0.28	0.38
seq1673	0.31	0.41
seq1674	0.38	0.47
seq1675	0.19	0.29
seq1676	0.35	0.44
seq1677	0.4	0.5
seq1678	0.39	0.49
seq1679	0.36	0.46
seq1680	0.38	0.48
seq1681	0.4	0.5
seq1682	0.38	0.47
seq1683	0.35	0.45
seq1684	0.46	0.57
seq1685	0.41	0.52
seq1686	0.35	0.45
seq1687	0.36	0.46
seq1688	0.29	0.38
seq1689	0.41	0.52
seq1690	0.38	0.49
seq1691	0.41	0.51
seq1692	0.38	0.49
seq1693	0.42	0.52
seq1694	0.34	0.45
seq1695	0.37	0.47
seq1696	0.3	0.41
seq1697	0.32	0.42
seq1698	0.29	0.4
seq1699	0.5	0.59
seq1700	0.37	0.47
seq1701	0.32	0.41
seq1702	0.44	0.55
seq1703	0.4	0.49
seq1704	0.35	0.44
seq1705	0.39	0.49
seq1706	0.45	0.56
seq1707	0.36	0.46
seq1708	0.38	0.47
seq1709	0.37	0.46
seq1710	0.42	0.51
seq1711	0.26	0.35
seq1712	0.41	0.52
seq1713	0.36	0.45
seq1714	0.36	0.45
seq1715	0.45	0.56
seq1716	0.36	0.46
seq1717	0.36	0.47
seq1718	0.43	0.53
seq1719	0.41	0.5
seq1720	0.35	0.45
seq1721	0.33	0.44
seq1722	0.42	0.52
seq1723	0.22	0.32
seq1724	0.4	0.5
seq1725	0.41	0.52
seq1726	0.36	0.45
seq1727	0.44	0.55
seq1728	0.34	0.43
seq1729	0.44	0.54
seq1730	0.45	0.55
seq1731	0.43	0.52
seq1732	0.38	0.47
seq1733	0.34	0.44
seq1734	0.36	0.45
seq1735	0.29	0.39
seq1736	0.39	0.49
seq1737	0.39	0.48
seq1738	0.43	0.52
seq1739	0.37	0.47
seq1740	0.4	0.5
seq1741	0.42	0.52
seq1742	0.28	0.38
seq1743	0.38	0.47
seq1744	0.28	0.38
seq1745	0.43	0.53
seq1746	0.42	0.52
seq1747	0.38	0.49
seq1748	0.48	0.58
seq1749	0.27	0.36
seq1750	0.39	0.49
seq1751	0.31	0.41
seq1752	0.39	0.49
seq1753	0.38	0.47
seq1754	0.29	0.39
seq1755	0.31	0.42
seq1756	0.36	0.47
seq1757	0.54	0.63
seq1758	0.4	0.5
seq1759	0.4	0.49
seq1760	0.17	0.27
seq1761	0.39	0.49
seq1762	0.39	0.5
seq1763	0.39	0.48
seq1764	0.32	0.42
seq1765	0.43	0.52
seq1766	0.35	0.45
seq1767	0.33	0.44
seq1768	0.43	0.53
seq1769	0.46	0.57
seq1770	0.32	0.41
seq1771	0.3	0.41
seq1772	0.43	0.52
seq1773	0.29	0.39
seq1774	0.54	0.64
seq1775	0.47	0.57
seq1776	0.37	0.48
seq1777	0.37	0.47
seq1778	0.33	0.43
seq1779	0.45	0.55
seq1780	0.3	0.4
seq1781	0.36	0.45
seq1782	0.41	0.52
seq1783	0.36	0.46
seq1784	0.34	0.43
seq1785	0.37	0.47
seq1786	0.38	0.48
seq1787	0.51	0.6
seq1788	0.39	0.49
seq1789	0.33	0.43
seq1790	0.38	0.48
seq1791	0.42	0.52
seq1792	0.37	0.46
seq1793	0.46	0.56
seq1794	0.51	0.61
seq1795	0.42	0.52
seq1796	0.34	0.44
seq1797	0.5	0.61
seq1798	0.22	0.33
seq1799	0.32	0.43
seq1800	0.53	0.63
seq1801	0.41	0.52
seq1802	0.38	0.48
seq1803	0.39	0.48
seq1804	0.56	0.66
seq1805	0.46	0.56
seq1806	0.35	0.45
seq1807	0.3	0.4
seq1808	0.39	0.48
seq1809	0.35	0.45
seq1810	0.37	0.47
seq1811	0.41	0.51
seq1812	0.41	0.5
seq1813	0.39	0.48
seq1814	0.3	0.4
seq1815	0.35	0.46
seq1816	0.34	0.45
seq1817	0.41	0.51
seq1818	0.31	0.4
seq1819	0.44	0.55
seq1820	0.41	0.51
seq1821	0.38	0.49
seq1822	0.42	0.53
seq1823	0.39	0.48
seq1824	0.44	0.53
seq1825	0.41	0.5
seq1826	0.35	0.45
seq1827	0.4	0.5
seq1828	0.29	0.4
seq1829	0.41	0.5
seq1830	0.42	0.52
seq1831	0.34	0.44
seq1832	0.36	0.46
seq1833	0.27	0.37
seq1834	0.26	0.37
seq1835	0.43	0.53
seq1836	0.26	0.37
seq1837	0.44	0.53
seq1838	0.38	0.49
seq1839	0.4	0.49
seq1840	0.36	0.46
seq1841	0.38	0.49
seq1842	0.47	0.58
seq1843	0.4	0.5
seq1844	0.26	0.36
seq1845	0.29	0.38
seq1846	0.35	0.45
seq1847	0.33	0.43
seq1848	0.43	0.53
seq1849	0.31	0.41
seq1850	0.46	0.56
seq1851	0.29	0.39
seq1852	0.25	0.35
seq1853	0.34	0.44
seq1854	0.35	0.45
seq1855	0.35	0.45
seq1856	0.36	0.47
seq1857	0.37	0.47
seq1858	0.36	0.46
seq1859	0.29	0.39
seq1860	0.44	0.54
seq1861	0.39	0.48
seq1862	0.39	0.49
seq1863	0.36	0.47
seq1864	0.43	0.52
seq1865	0.48	0.57
seq1866	0.38	0.48
seq1867	0.39	0.48
seq1868	0.41	0.51
seq1869	0.32	0.41
seq1870	0.4	0.49
seq1871	0.41	0.52
seq1872	0.26	0.36
seq1873	0.49	0.59
seq1874	0.38	0.48
seq1875	0.39	0.49
seq1876	0.33	0.44
seq1877	0.45	0.55
seq1878	0.39	0.48
seq1879	0.38	0.47
seq1880	0.51	0.6
seq1881	0.32	0.41
seq1882	0.43	0.53
seq1883	0.38	0.49
seq1884	0.36	0.46
seq1885	0.38	0.48
seq1886	0.39	0.49
seq1887	0.18	0.28
seq1888	0.41	0.5
seq1889	0.35	0.45
seq1890	0.32	0.42
seq1891	0.43	0.54
seq1892	0.27	0.36
seq1893	0.36	0.45
seq1894	0.35	0.45
seq1895	0.38	0.49
seq1896	0.4	0.5
seq1897	0.29	0.39
seq1898	0.46	0.56
seq1899	0.4	0.5
seq1900	0.29	0.39
seq1901	0.34	0.44
seq1902	0.37	0.46
seq1903	0.38	0.48
seq1904	0.33	0.43
seq1905	0.26	0.36
seq1906	0.34	0.43
seq1907	0.35	0.45
seq1908	0.39	0.49
seq1909	0.35	0.45
seq1910	0.36	0.46
seq1911	0.35	0.45
seq1912	0.3	0.39
seq1913	0.37	0.47
seq1914	0.38	0.48
seq1915	0.41	0.51
seq1916	0.38	0.47
seq1917	0.39	0.49
seq1918	0.32	0.42
seq1919	0.35	0.45
seq1920	0.39	0.48
seq1921	0.39	0.48
seq1922	0.41	0.5
seq1923	0.37	0.47
seq1924	0.39	0.49
seq1925	0.35	0.46
seq1926	0.3	0.39
seq1927	0.34	0.43
seq1928	0.31	0.41
seq1929	0.35	0.44
seq1930	0.43	0.53
seq1931	0.3	0.39
seq1932	0.4	0.51
seq1933	0.44	0.53
seq1934	0.45	0.56
seq1935	0.35	0.45
seq1936	0.46	0.57
seq1937	0.5	0.6
seq1938	0.4	0.49
seq1939	0.45	0.55
seq1940	0.4	0.5
seq1941	0.35	0.44
seq1942	0.37	0.47
seq1943	0.39	0.49
seq1944	0.37	0.48
seq1945	0.33	0.43
seq1946	0.45	0.54
seq1947	0.32	0.43
seq1948	0.43	0.53
seq1949	0.27	0.38
seq1950	0.51	0.6
seq1951	0.29	0.38
seq1952	0.33	0.43
seq1953	0.4	0.5
seq1954	0.36	0.46
seq1955	0.36	0.46
seq1956	0.38	0.49
seq1957	0.44	0.53
seq1958	0.52	0.62
seq1959	0.34	0.44
seq1960	0.41	0.51
seq1961	0.37	0.47
seq1962	0.35	0.45
seq1963	0.46	0.56
seq1964	0.38	0.48
seq1965	0.39	0.49
seq1966	0.3	0.4
seq1967	0.43	0.53
seq1968	0.32	0.43
seq1969	0.33	0.44
seq1970	0.36	0.46
seq1971	0.35	0.46
seq1972	0.41	0.51
seq1973	0.29	0.4
seq1974	0.39	0.49
seq1975	0.29	0.39
seq1976	0.43	0.54
seq1977	0.32	0.42
seq1978	0.55	0.65
seq1979	0.4	0.49
seq1980	0.4	0.51
seq1981	0.48	0.59
seq1982	0.39	0.48
seq1983	0.34	0.44
seq1984	0.35	0.44
seq1985	0.41	0.51
seq1986	0.32	0.43
seq1987	0.46	0.55
seq1988	0.44	0.54
seq1989	0.36	0.47
seq1990	0.43	0.53
seq1991	0.42	0.52
seq1992	0.45	0.56
seq1993	0.39	0.48
seq1994	0.27	0.38
seq1995	0.43	0.54
seq1996	0.45	0.55
seq1997	0.35	0.45
seq1998	0.41	0.51
seq1999	0.4	0.5
seq2000	0.27	0.36
seq2001	0.43	0.53
seq2002	0.35	0.45
seq2003	0.33	0.42
seq2004	0.39	0.5
seq2005	0.56	0.67
seq2006	0.4	0.51
seq2007	0.36	0.45
seq2008	0.42	0.52
seq2009	0.44	0.54
seq2010	0.37	0.47
seq2011	0.37	0.47
seq2012	0.34	0.44
seq2013	0.25	0.35
seq2014	0.37	0.46
seq2015	0.38	0.47
seq2016	0.36	0.46
seq2017	0.38	0.47
seq2018	0.42	0.51
seq2019	0.37	0.47
seq2020	0.36	0.46
seq2021	0.42	0.52
seq2022	0.37	0.48
seq2023	0.54	0.64
seq2024	0.44	0.55
seq2025	0.44	0.54
seq2026	0.49	0.6
seq2027	0.39	0.48
seq2028	0.38	0.48
seq2029	0.3	0.41
seq2030	0.35	0.45
seq2031	0.44	0.54
seq2032	0.34	0.44
seq2033	0.49	0.6
seq2034	0.38	0.47
seq2035	0.35	0.45
seq2036	0.27	0.37
seq2037	0.31	0.4
seq2038	0.56	0.66
seq2039	0.42	0.51
seq2040	0.4	0.5
seq2041	0.4	0.51
seq2042	0.35	0.46
seq2043	0.41	0.51
seq2044	0.41	0.5
seq2045	0.41	0.51
seq2046	0.34	0.44
seq2047	0.45	0.55
seq2048	0.37	0.47
seq2049	0.38	0.49
seq2050	0.36	0.47
seq2051	0.25	0.35
seq2052	0.42	0.52
seq2053	0.29	0.4
seq2054	0.36	0.47
seq2055	0.45	0.56
seq2056	0.43	0.52
seq2057	0.43	0.52
seq2058	0.35	0.45
seq2059	0.37	0.46
seq2060	0.32	0.43
seq2061	0.47	0.57
seq2062	0.26	0.36
seq2063	0.35	0.45
seq2064	0.45	0.56
seq2065	0.39	0.49
seq2066	0.31	0.42
seq2067	0.39	0.49
seq2068	0.41	0.5
seq2069	0.24	0.33
seq2070	0.3	0.41
seq2071	0.17	0.27
seq2072	0.29	0.39
seq2073	0.5	0.61
seq2074	0.32	0.42
seq2075	0.36	0.45
seq2076	0.41	0.51
seq2077	0.42	0.52
seq2078	0.36	0.46
seq2079	0.42	0.52
seq2080	0.48	0.58
seq2081	0.41	0.52
seq2082	0.4	0.51
seq2083	0.36	0.46
seq2084	0.39	0.48
seq2085	0.47	0.57
seq2086	0.4	0.51
seq2087	0.31	0.41
seq2088	0.38	0.48
seq2089	0.39	0.48
seq2090	0.42	0.53
seq2091	0.5	0.59
seq2092	0.3	0.4
seq2093	0.25	0.35
seq2094	0.42	0.53
seq2095	0.47	0.56
seq2096	0.3	0.41
seq2097	0.27	0.37
seq2098	0.41	0.52
seq2099	0.45	0.56
seq2100	0.32	0.42
seq2101	0.45	0.55
seq2102	0.47	0.57
seq2103	0.25	0.35
seq2104	0.44	0.54
seq2105	0.3	0.41
seq2106	0.3	0.39
seq2107	0.42	0.52
seq2108	0.44	0.53
seq2109	0.42	0.53
seq2110	0.46	0.56
seq2111	0.44	0.53
seq2112	0.5	0.6
seq2113	0.46	0.56
seq2114	0.4	0.5
seq2115	0.26	0.36
seq2116	0.39	0.5
seq2117	0.33	0.43
seq2118	0.38	0.49
seq2119	0.39	0.49
seq2120	0.37	0.47
seq2121	0.45	0.56
seq2122	0.35	0.46
seq2123	0.52	0.62
seq2124	0.49	0.6
seq2125	0.43	0.53
seq2126	0.37	0.46
seq2127	0.41	0.51
seq2128	0.27	0.36
seq2129	0.48	0.59
seq2130	0.4	0.51
seq2131	0.3	0.39
seq2132	0.35	0.45
seq2133	0.31	0.42
seq2134	0.39	0.49
seq2135	0.39	0.48
seq2136	0.37	0.47
seq2137	0.39	0.49
seq2138	0.36	0.45
seq2139	0.33	0.44
seq2140	0.34	0.45
seq2141	0.35	0.45
seq2142	0.27	0.37
seq2143	0.24	0.35
seq2144	0.47	0.58
seq2145	0.46	0.56
seq2146	0.41	0.52
seq2147	0.41	0.51
seq2148	0.4	0.51
seq2149	0.31	0.41
seq2150	0.33	0.43
seq2151	0.31	0.4
seq2152	0.33	0.42
seq2153	0.31	0.41
seq2154	0.35	0.45
seq2155	0.4	0.5
seq2156	0.36	0.47
seq2157	0.37	0.47
seq2158	0.41	0.51
seq2159	0.44	0.55
seq2160	0.42	0.53
seq2161	0.43	0.53
seq2162	0.33	0.42
seq2163	0.36	0.46
seq2164	0.35	0.45
seq2165	0.45	0.56
seq2166	0.31	0.42
seq2167	0.39	0.5
seq2168	0.36	0.46
seq2169	0.37	0.47
seq2170	0.38	0.48
seq2171	0.38	0.48
seq2172	0.53	0.62
seq2173	0.31	0.42
seq2174	0.4	0.5
seq2175	0.46	0.56
seq2176	0.36	0.46
seq2177	0.39	0.5
seq2178	0.36	0.45
seq2179	0.43	0.54
seq2180	0.37	0.47
seq2181	0.47	0.56
seq2182	0.4	0.51
seq2183	0.35	0.45
seq2184	0.4	0.49
seq2185	0.3	0.4
seq2186	0.32	0.42
seq2187	0.38	0.49
seq2188	0.35	0.46
seq2189	0.5	0.6
seq2190	0.37	0.47
seq2191	0.34	0.44
seq2192	0.38	0.48
seq2193	0.42	0.53
seq2194	0.27	0.36
seq2195	0.27	0.37
seq2196	0.38	0.49
seq2197	0.43	0.53
seq2198	0.35	0.44
seq2199	0.39	0.49
seq2200	0.39	0.5
seq2201	0.4	0.49
seq2202	0.36	0.47
seq2203	0.41	0.51
seq2204	0.32	0.42
seq2205	0.38	0.47
seq2206	0.42	0.52
seq2207	0.31	0.42
seq2208	0.29	0.39
seq2209	0.43	0.54
seq2210	0.42	0.52
seq2211	0.36	0.46
seq2212	0.39	0.48
seq2213	0.45	0.55
seq2214	0.4	0.51
seq2215	0.4	0.5
seq2216	0.43	0.52
seq2217	0.35	0.45
seq2218	0.36	0.45
seq2219	0.36	0.46
seq2220	0.35	0.45
seq2221	0.34	0.45
seq2222	0.37	0.47
seq2223	0.44	0.53
seq2224	0.39	0.48
seq2225	0.42	0.52
seq2226	0.42	0.53
seq2227	0.28	0.39
seq2228	0.36	0.45
